timestamp,object,error_type,task,message,source_log
"2026-08-04T01:14:15.000Z","FRM901001","controller_disabled","FFE-On-Location ""Location={-5499460.953457, -2250814.454542, 2309743.262342}""  Name of Weapons to Fire: Patriot Missile Launcher. Number-Of-Rounds: 1. Height-Above-Terrain: 0","FRM901001: No controller or Controller is disabled, unable to carry out task FFE-On-Location ""Location={-5499460.953457, -2250814.454542, 2309743.262342}""  Name of Weapons to Fire: Patriot Missile Launcher. Number-Of-Rounds: 1. Height-Above-Terrain: 0",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","ENZPU001","controller_disabled","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","ENZPU001: No controller or Controller is disabled, unable to carry out task Move to {-5499460.953457, -2250814.454542, 2309743.262342}",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","FRZPU003","controller_disabled","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","FRZPU003: No controller or Controller is disabled, unable to carry out task Move to {-5499315.048189, -2250231.003964, 2310734.853397}",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","FRZPU001","controller_disabled","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","FRZPU001: No controller or Controller is disabled, unable to carry out task Move to {-5499315.048189, -2250231.003964, 2310734.853397}",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","ENZPU002","controller_disabled","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","ENZPU002: No controller or Controller is disabled, unable to carry out task Move to {-5499460.953457, -2250814.454542, 2309743.262342}",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","ENZPU003","controller_disabled","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","ENZPU003: No controller or Controller is disabled, unable to carry out task Move to {-5499460.953457, -2250814.454542, 2309743.262342}",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","ENMIM001","controller_disabled","FFE-On-Location ""Location={-5498755.048693, -2250824.434840, 2311307.787782}""  Name of Weapons to Fire: Patriot Missile Launcher. Number-Of-Rounds: 1. Height-Above-Terrain: 0","ENMIM001: No controller or Controller is disabled, unable to carry out task FFE-On-Location ""Location={-5498755.048693, -2250824.434840, 2311307.787782}""  Name of Weapons to Fire: Patriot Missile Launcher. Number-Of-Rounds: 1. Height-Above-Terrain: 0",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","FRZPU002","controller_disabled","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","FRZPU002: No controller or Controller is disabled, unable to carry out task Move to {-5499315.048189, -2250231.003964, 2310734.853397}",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","FRM901001","controller_disabled","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","FRM901001: No controller or Controller is disabled, unable to carry out task Move to {-5499516.453323, -2249726.423604, 2310685.859186}",".\vrfSim.log"
"2026-08-04T01:14:15.000Z","ENZPU001","controller_disabled","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","ENZPU001: No controller or Controller is disabled, unable to carry out task Move to {-5499460.953457, -2250814.454542, 2309743.262342}",".\vrfSim.log"
